business_name,address,inspection_date,years_alive
FLAMING WINGS & IC CREAM SHOP,10258 S EWING AVE ,06/19/2014,1
THE BUTCHER & LARDER,1026 N MILWAUKEE AVE ,12/30/2010,5
OLD FIFTH,1027 W MADISON ST ,08/14/2014,2
VORA,1028 N CLARK ST ,02/09/2016,1
LITTLE WOK,103 E 51ST ST ,02/17/2017,0
LITTLE WOK,103 E 51ST ST ,01/18/2012,0
CAFE FRESH INC.,1030 N CLARK ST ,05/19/2014,1
DAVE & BUSTER'S/MIDWAY BAR,1030 N CLARK ST ,10/01/2013,0
DAVE & BUSTER'S/MAIN DINING RM,1030 N CLARK ST ,10/01/2013,0
DAVE & BUSTER'S/POOL ROOM,1030 N CLARK ST ,10/01/2013,0
DAVE & BUSTER'S/EXEC. BILLIARD,1030 N CLARK ST ,10/01/2013,0
DAVE & BUSTER/GOLF SIMULA,1030 N CLARK ST ,10/01/2013,0
DAVE & BUSTER/SPC.EVT.RM,1030 N CLARK ST ,10/01/2013,0
DAVE & BUSTER/GOLF SIMULA,1030 N CLARK ST ,11/09/2012,1
DAVE & BUSTER'S/BOWLING ALLEY,1030 N CLARK ST ,08/19/2010,2
CONNIE'S PIZZA,1030 N STATE ST ,06/25/2014,3
TRADER VIC'S,1030 N STATE ST ,08/16/2013,0
THE GROTTO,1030 N STATE ST ,08/08/2013,0
RESTAURANT DEPOT,1030 W DIVISION ST ,06/30/2010,1
FLIRTY CUPCAKES,1030 W TAYLOR ST ,06/06/2017,0
FLIRTY CUPCAKES,1030 W TAYLOR ST ,01/15/2016,1
M N S Gas,10301 S KEDZIE AVE ,01/08/2013,0
ALI KHAN MARATHON,10301 S KEDZIE AVE ,01/08/2013,0
"TWO CITY GAS, INC.",10301 S KEDZIE AVE ,01/08/2013,0
TASNEEM INC,10301 S KEDZIE AVE ,01/08/2013,0
QUALITY GAS,10301 S KEDZIE AVE ,01/08/2013,0
MOTI MAHAL RESTAURANT,1031-1035 W BELMONT AVE ,12/04/2014,3
"FAT'S DAWG & BURGER, INC.",10318 S HALSTED ST ,07/24/2012,1
SUBWAY,10319 S PULASKI RD ,08/31/2010,3
A'NH - LINH RESTAURANT,1032 W ARGYLE ST ,12/07/2012,0
