,business_name,address,inspection_date,years_alive
5459,DONUT DOCTOR & EDY'S ICE CREAM,3342 W LAWRENCE AVE ,07/17/2013,0
5460,SHAWN MICHELLE'S CHURNED HOME MADE ICE CREAM,3343 N BROADWAY ,06/15/2017,0
5461,HAROLD'S CHICKEN,3343 N BROADWAY ,12/06/2017,0
5462,MRS. T'S SOUTHERN FRIED CHICKEN,3343 N BROADWAY ,03/23/2015,2
5463,BLOKES & BIRDS,3343 N CLARK ST ,09/28/2016,0
5464,Saugatuck Coffee Company,3344 N HALSTED ST ,07/07/2010,4
5465,VIDA SALUDABLE,3344 W 63RD ST ,12/07/2011,2
5466,Booil Restaurant,3346 W Bryn Mawr AVE ,11/17/2011,4
5467,SUBWAY RESTAURANT 1,3348 W LAWRENCE AVE ,11/24/2010,1
5468,EXTRA INNINGS-WRIGLEYVILLE,3349 N SHEFFIELD AVE ,12/19/2014,2
5469,COSTELLO'S SANDWICHES & SIDES,3349 N SHEFFIELD AVE ,12/21/2012,2
5470,SUBWAY #7706,335 S FRANKLIN ST ,08/19/2014,1
5471,HAUTE SAUSAGE,335 S FRANKLIN ST ,04/08/2014,0
5472,HAUTE SAUSAGE,335 S FRANKLIN ST ,04/08/2014,0
5473,THE WORKS OFF VAN BUREN,335 S FRANKLIN ST ,10/18/2013,0
5474,Subway Sandwiches,335 S FRANKLIN ST ,12/11/2012,0
5475,SUBWAY,335 S FRANKLIN ST ,04/22/2011,1
5476,"THE WORKS ON FRANKLIN, INC.",335 S FRANKLIN ST ,04/05/2011,0
5477,HUSKY HOG BBQ,335 W 31ST ST ,06/27/2014,1
5478,MR. SPANKY'S AND FOODISM,335 W 31ST ST ,09/18/2013,1
5479,JIMMY'S LUNCH BOX,335 W 31ST ST ,06/06/2012,1
5480,LONE STAR BBQ BAR,3350 N HARLEM AVE ,08/30/2016,2
5481,CAPONIES CAFE & PIZZA,3350 N HARLEM AVE ,12/15/2015,1
5482,CRAZY CALABRESE,3350 N HARLEM AVE ,05/08/2014,1
5483,CAPONIES CAFE & PIZZA,3350 N HARLEM AVE ,08/10/2011,1
5484,DOMINICK'S # 86/1086,3350 N WESTERN AVE ,08/11/2011,0
5485,LACOCO'S PIZZA & PASTA,3350 W 47th ST ,05/06/2013,0
5486,PHOEBE'S BAKERY & ESPRESSO BAR,3351 N BROADWAY ,08/27/2014,0
5487,NABOS,3351 N BROADWAY ,07/05/2012,0
5488,NABO'S,3351 N BROADWAY ,07/05/2012,0
5489,FRESH CHOICE,3351 N BROADWAY ,07/02/2012,0
5490,MISSISSIPPI RICKS,3351 S DR MARTIN LUTHER KING JR DR ,10/20/2010,2
5491,DS Cantina,3352 N HALSTED ST ,10/17/2017,0
5492,POPEYE'S CHICKEN & BISCUITS,3352 W LAWRENCE AVE ,12/24/2013,0
5493,NORTH PARK PIZZA,3352-3354 W FOSTER AVE ,01/17/2014,0
5494,LYNN S HALLMARK,3353 N LINCOLN AVE ,01/25/2013,2
5495,"DANISH GAS & FOOD MART, INC",3353-3359 W HARRISON ST ,03/08/2017,0
5496,"DANISH GAS & FOOD MART, INC",3353-3359 W HARRISON ST ,10/04/2016,0
5497,LaPILLUELITA  deMICOACAN,3356 W 63RD ST ,07/14/2017,0
5498,"IGROCERY, INC.",3356 W 63RD ST ,07/30/2013,2
5499,"HAIFA MINI MART, INC.",3356 W 63RD ST ,10/07/2011,2
5500,JUSTIN'S,3356-3358 N SOUTHPORT AVE ,03/24/2010,6
5501,BEEFEE SUBMARINE INC,3357 W CHICAGO AVE ,06/14/2012,2
5502,"HARRISON & HOMAN CITGO INC,",3357 W HARRISON ST ,10/20/2010,2
5503,UNCLE EDDIE'S,3357 W HARRISON ST ,10/20/2010,0
5504,"MURRY'S FISH & CHICKEN, INC.",3357 W HARRISON ST ,10/20/2010,0
5505,"WEST SIDE WINGS-N-THINGS, INC",3357 W HARRISON ST ,10/20/2010,0
5506,MURRY FISH AND CHICKEN OF CHICAGO INC.,3357 W HARRISON ST ,10/20/2010,0
5507,MCGUIGANS,3358 N ASHLAND AVE ,07/11/2014,3
5508,LA TABERNA TAPATIA,3358 N ASHLAND AVE ,09/22/2011,2
5509,FOSTER GROCERY PLUS,3358 W FOSTER AVE ,12/13/2016,1
5510,FOSTER GROCERY AND DOLLAR PLUS,3358 W FOSTER AVE ,05/14/2015,0
5511,FOSTER GROCERY & DOLLAR PLUS,3358 W FOSTER AVE ,09/13/2011,4
5512,PETRA GROCERY,3358 W LE MOYNE ST ,01/05/2018,0
5513,LE MOYNE FAMILY MARKET,3358 W LE MOYNE ST ,01/05/2018,0
5514,Amigo Grocery Store,3358 W LE MOYNE ST ,02/16/2017,1
5515,SALSA AND CHIPS,3358 W MONTROSE AVE ,02/19/2015,3
5516,"MEXICAN RESTAURANT VILLA VICTORIA, INC.",3358 W MONTROSE AVE ,10/14/2014,1
5517,LONCHERA MICHOACANA,3358 W MONTROSE AVE ,12/06/2012,2
5518,PROGRESS BAR,3359 N HALSTED ST ,06/11/2013,4
5519,COCKTAIL,3359 N HALSTED ST ,06/11/2013,0
5520,COCKTAIL,3359 N HALSTED ST ,08/24/2010,3
5521,LEAVITT CANDY STORE,3359 S LEAVITT ST ,09/13/2017,0
5522,"SOLO FOOD & DELI,INC.",3359 W CHICAGO AVE ,01/27/2012,4
5523,F & O FOODS INC.,3359 W CHICAGO AVE ,01/27/2012,0
5524,CHICAGO HOMAN FOOD MART INC,3359 W CHICAGO AVE ,01/27/2012,0
5525,DINA'S FOOD,3359 W CHICAGO AVE ,01/26/2012,0
5526,FRESH FAMILY FOODS,336 E 95TH ST ,10/16/2014,0
5527,95TH MARKET,336 E 95TH ST ,10/16/2014,0
5528,95TH MARKET STORE,336 E 95TH ST ,08/18/2011,3
5529,GREENLINE FOOD,336 N LARAMIE AVE ,12/26/2014,1
5530,HARRY'S SANDWICH SHOP,336 S DEARBORN ST ,04/12/2017,0
5531,GREEN LINE FOOD,336-338 N LARAMIE AVE ,11/23/2015,0
5532,"CHICAGO AVENUE  MART,INC.",3360 W CHICAGO AVE ,08/28/2015,0
5533,WEST SIDE FOOD MART,3360 W CHICAGO AVE ,08/11/2014,1
5534,SWEET FOOD & GIFTS,3362 S HALSTED ST ,11/20/2013,0
5535,FAMILY DOLLAR #10596,3363 N MILWAUKEE AVE ,09/09/2013,2
5536,RAMA FAST FOOD,3364 W OGDEN AVE ,10/13/2017,0
5537,OGDEN FOOD MART INC,3364 W OGDEN AVE ,11/16/2015,1
5538,UNCLE JOHN'S BAR-B-QUE,337 E 69TH ST ,09/16/2013,1
5539,HAUTE SAUSAGE,337 S FRANKLIN ST ,05/01/2014,2
5540,JOHNNY O' HAGAN'S,3374 N CLARK ST ,09/09/2015,2
5541,Johnny O'Hagan's,3374 N CLARK ST ,12/10/2012,0
5542,SHARKES,338 S CALIFORNIA AVE ,10/30/2013,2
5543,LARAMIE MINI MARKET INC.,338 S LARAMIE AVE ,09/16/2016,1
5544,LARAMIE MINI MART 1,338 S LARAMIE AVE ,11/26/2013,2
5545,G AND L MINI MART,338 S LARAMIE AVE ,01/13/2012,0
5546,SAIMAI THAI RESTAURANT,338 W ARMITAGE AVE ,05/06/2013,0
5547,BIN 36,339 N DEARBORN ST ,12/03/2014,1
5548,WHOLLY INNOCENTS DAYCARE CENTER.,34 N Sangamon ST ,04/02/2014,3
5549,"SIMPLY DELICIOUS CUISINE, LLC",340 W 113TH ST ,04/16/2013,1
5550,SISTERS EXOTIC,340 W 113TH ST ,04/16/2013,0
5551,EUROPA GALLERIA INC,340 W SUPERIOR ST ,08/30/2011,5
5552,CAFE  EL TAPATIO,3400 N Ashland AVE ,07/30/2013,3
5553,WRIGLEYVILLE WILD WINGS,3400 N CLARK ST ,08/30/2012,1
5554,CURIO CAFE,3400 N LAWNDALE AVE ,09/27/2010,2
5555,PENNY'S NOODLE SHOP,3400 N SHEFFIELD AVE ,11/05/2015,0
5556,JIBARITO'S Y MAS,3400 W FULLERTON AVE ,03/21/2016,1
5557,SABOREA,3400 W FULLERTON AVE ,03/30/2015,1
5558,El Sabor Latino,3400 W FULLERTON AVE ,09/05/2014,1
5559,SABOR LATINO #2,3400 W FULLERTON AVE ,03/10/2011,2
5560,ESQUINA DEL SABOR,3400 W FULLERTON AVE ,03/10/2011,0
5561,LION FOOD MARKET,3400 W LAKE ST ,11/05/2014,2
5562,SHOP & SALE INC,3400 W LAKE ST ,10/29/2012,2
5563,"THE BIG CHEESE WRIGLEYVILLE, LLC",3401 N CLARK ST ,09/10/2013,2
5564,EL JARDIN CAFE,3401 N CLARK ST ,09/03/2013,0
5565,SPEEDWAY #8315,3401 S CALIFORNIA AVE ,04/27/2010,3
5566,BRYN MAWR BREAKFAST CLUB,3401 W BRYN MAWR AVE ,04/14/2016,1
5567,ORGATEA & CAFE,3401 W BRYN MAWR AVE ,09/25/2013,0
5568,ELSTON GRILL,3401 W BRYN MAWR AVE ,02/28/2012,1
5569,BRYN MAWR KIMBALL INC,3401 W BRYN MAWR AVE ,02/27/2012,0
5570,"NORTHPARK GRILL, INC.",3401 W BRYN MAWR AVE ,02/27/2012,0
5571,C AND V SNACK SHOP,3401 W BRYN MAWR AVE ,02/27/2012,0
5572,DAWN'S,3401 W BRYN MAWR AVE ,03/02/2011,1
5573,CV'S GRILL,3401 W BRYN MAWR AVE ,03/02/2011,0
5574,3401 Y.D. INC,3401 W BRYN MAWR AVE ,05/24/2010,1
5575,7-ELEVEN,3401 W IRVING PARK RD ,08/23/2011,3
5576,VERIDIANA GARCIA,3402 W 26TH    ST ,07/25/2011,2
5577,MUNCHIES MART,3403 W ARMITAGE ,04/04/2011,3
5578,"THE HEARTY BOYS CATERERS, INC.",3404 N HALSTED ST ,10/07/2015,0
5579,ETHEL'S,3404 N SOUTHPORT AVE ,09/13/2013,4
5580,"Safari Cup Coffee, Inc.",3404 N SOUTHPORT AVE ,09/12/2013,0
5581,SOMBRERO,3405-3409 N CLARK ST ,08/20/2013,2
5582,YORI'S  HAROLDS,3407 1/2 W MADISON ST ,11/12/2014,0
5583,HAROLD'S HEALTHY CHICKEN SHACK,3407 1/2 W MADISON ST ,10/17/2013,1
5584,ADOBE HAROLD CHICKEN SHACK,3407 1/2 W MADISON ST ,10/17/2013,0
5585,HAROLD'S CHICKEN SHACK,3407 1/2 W MADISON ST ,11/28/2012,1
5586,ADAM'S FISH AND CHICKEN,3407 1/2 W MADISON ST ,11/26/2012,0
5587,MADISON  STREET BURGERS,3407 1/2 W Madison ST ,03/12/2010,4
5588,CJ'S CAFE,3407 W BELMONT AVE ,05/18/2011,1
5589,D & L SNACK SHOP,3407 W BELMONT AVE ,08/26/2010,1
5590,THE ROSELAND MARKET,3407 W MADISON ST ,10/01/2013,0
5591,ROSELAND FOOD & LIQUOR INC,3407 W MADISON ST ,10/01/2013,0
5592,ROSELAND SUBS,3407 W MADISON ST ,04/15/2010,3
5593,BB BUN MI EXPRESS,3409 N BROADWAY ,02/19/2016,1
5594,BUN MI EXPRESS,3409 N BROADWAY ,07/19/2012,0
5595,EURO CONVENIENT,3409 W LAWRENCE AVE ,04/18/2011,0
5596,PICK N MOVE FOOD MART,3409 W LAWRENCE AVE ,04/18/2011,0
5597,EURO CONVENIENT STORE,3409 W LAWRENCE AVE ,04/18/2011,0
5598,PIKO STREET KITCHEN,3410 MAIN ST ,09/20/2016,1
5599,HUNAN WOK,3411 W BRYN MAWR AVE ,11/24/2014,3
5600,HUNAN WOK,3411 W BRYN MAWR AVE ,06/11/2013,0
5601,Hunan Wok,3411 W BRYN MAWR AVE ,07/19/2012,1
5602,HOT TAMALES,3412 W 79TH ST ,03/24/2017,1
5603,BAY-BAY'S WINGS AND THINGS,3412 W 79TH ST ,08/07/2012,5
5604,Chi Pie Pizza,3413 N CLARK ST ,09/20/2011,1
5605,GORA DELI,3414 N HARLEM AVE ,10/01/2010,2
5606,PURGATORY PIZZA,3415 N CLARK ST ,01/24/2012,1
5607,JAVACHA CAFE,3415 N CLARK ST ,01/26/2011,1
5608,A B C HEADSTART,3415 W 13TH PL ,02/11/2016,1
5609,ANN SATHER'S CAFE ON SOUTHPORT,3416 N SOUTHPORT AVE ,09/02/2010,2
5610,PATHWAYS TO LEARNING CHILD CARE,3416-3418 W 79TH ST ,09/29/2011,2
5611,KAWA II JAPANESE RESTAURANT,3417 S HALSTED ST ,06/30/2014,1
5612,GYROS DELIGHT,3417 S HALSTED ST ,10/04/2010,0
5613,AL WALI CONVENIENT STORE,3417 W PETERSON AVE ,10/28/2014,3
5614,TRUE DISCOUNT CIGARETTES,3417 W PETERSON AVE ,05/22/2014,0
5615,AL-WALY CONVENIENCE STORE,3417 W PETERSON AVE ,11/05/2012,2
5616,AL WALI CONVENIENT STORE,3417 W PETERSON AVE ,11/02/2012,0
5617,SOPO,3418 N SOUTHPORT AVE ,08/03/2011,2
5618,SAVE A LOT,3418 S HALSTED ST ,11/05/2014,2
5619,HALSTED FOODS,3418 S HALSTED ST ,01/06/2010,0
5620,IMPROV KITCHEN,3419 N CLARK ST ,08/13/2015,2
5621,EINSTEIN BROS. BAGELS  # 2578,3420 N SOUTHPORT AVE ,05/28/2013,2
5622,DJ'S BEST CHICKEN,3420 W NORTH AVE ,03/24/2011,2
5623,GOLD CROWN LIQUORS,3421 -3425 N CLARK ST ,12/09/2010,4
5624,GOLD CROWN LIQUORS,3421 N CLARK ST ,12/16/2010,4
5625,KANOK,3422 N BROADWAY ,03/29/2010,5
5626,PICAZO'S TACO & FAST FOOD,3422 W ARMITAGE AVE ,02/28/2012,3
5627,LA ESQUINA CUBANA,3422 W ARMITAGE AVE ,03/10/2011,0
5628,GOOD LIFE,3423 N CENTRAL AVE ,12/21/2015,1
5629,COOBAH II,3423 N SOUTHPORT AVE ,09/19/2013,2
5630,LA ESQUINITA,3424 W IRVING PARK RD ,02/01/2013,1
5631,BRASA ROJA RESTAURANT,3424 W IRVING PARK RD ,11/04/2011,2
5632,FONTANA BAKERY GRILL DELI,3424 W IRVING PARK RD ,11/04/2011,0
5633,"BORINCUBA INC,",3424 W IRVING PARK RD ,11/04/2011,0
5634,DICE FOOD MART,3424 W OHIO ST ,08/10/2012,1
5635,STEVE FOOD MARKET,3424 W OHIO ST ,12/29/2010,1
5636,AUSTRALIAN HOMEMADE,3425 N SOUTHPORT AVE ,12/17/2014,0
5637,BOBTAIL,3425 N SOUTHPORT AVE ,12/19/2013,1
5638,ISLE OF SICILY,3426 N HARLEM AVE ,11/07/2014,0
5639,FIORENZA RISTORANTE,3426 N HARLEM AVE ,09/29/2010,2
5640,BEST SUB NO2,3426 W DIVERSEY AVE ,03/18/2011,3
5641,TEAVANA #21920,3428 N SOUTHPORT AVE ,03/27/2014,3
5642,SAPA,3428 S DR MARTIN LUTHER KING JR DR ,09/03/2015,1
5643,TARAN TACOS,3429 S ARCHER AVE ,05/03/2011,2
5644,"BABAS STEAK & LEMONADE, INC..",343 E PERSHING RD ,03/17/2011,3
5645,SIN,343 S DEARBORN ST ,04/05/2013,0
5646,SIN,343 S DEARBORN ST ,04/05/2013,0
5647,BRANDO'S,343 S DEARBORN ST ,04/05/2013,0
5648,BRANDO'S,343 S DEARBORN ST ,04/05/2013,0
5649,SIN,343 S DEARBORN ST ,10/04/2010,3
5650,HOMEMADE PIZZA,3430 N SOUTHPORT AVE ,10/17/2013,1
5651,PARAMOUNT EVENTS,3430 N SOUTHPORT AVE ,06/22/2010,3
5652,"LA FINCA MARKET, INC.",3432 W IRVING PARK RD ,10/11/2016,1
5653,"RIO VALLEY GROCERY, INC.",3432 W IRVING PARK RD ,04/11/2014,2
5654,SLICE FACTORY,3435 1/2 W 26TH ST ,12/07/2017,0
5655,SLICE FACTORY,3435 1/2 W 26TH ST ,10/30/2015,2
5656,RICE'N BREAD,3435 N SHEFFIELD AVE ,10/14/2014,2
5657,MAGICLAND CENTER INC.,3435 W 26TH ST ,11/21/2014,3
5658,SEASONNNN & SALT,344 N LARAMIE AVE ,01/05/2011,3
5659,"GREENVILLE MISSISSIPPI CLUB, INC.",344 W 119TH ST ,09/24/2015,0
5660,FIANCO (WWINTER MARKET),3440 N SOUTHPORT AVE ,11/05/2013,0
5661,MONTROSE FRESH MARKET,3440 W MONTROSE AVE ,07/29/2013,2
5662,SUPERMERCADO CARDENAS,3440 W MONTROSE AVE ,07/11/2013,0
5663,Halsted's Bar & Grill,3441 N HALSTED ST ,09/20/2016,0
5664,The Pita House Bakery,3441 W Lawrence AVE ,06/09/2016,0
5665,ANTHONY'S,3442 N SOUTHPORT AVE ,05/03/2010,4
5666,RAMIREZ GROCERY CORP.,3442 W 24TH ST ,07/12/2016,0
5667,MIGUEL GROCERY STORE,3442 W 24TH ST ,07/26/2011,1
5668,DIEGO'S PICANTERIA,3443 N MILWAUKEE AVE ,08/15/2013,1
5669,DIEGO'S GRILL,3443 N MILWAUKEE AVE ,05/09/2013,0
5670,LAURO'S TACOS,3443 W 26TH ST ,02/07/2011,2
5671,EL CONSULADO TAQUERIA,3443 W 26TH ST ,07/06/2011,0
5672,KMART #3371,3443 W ADDISON ST ,11/22/2013,4
5673,ARCO DE CUCHILLEROS INC,3445 N HALSTED ST ,10/29/2010,3
5674,GEORGE'S RESTAURANT,3445 S HALSTED ST ,09/27/2010,3
5675,LOS AMIGOS MEXICAN RESTAURANT INC,3445 W 51ST ST ,07/22/2014,3
5676,TAQUERIA LOS AMIGOS,3445 W 51ST ST ,11/14/2012,1
5677,CUBAN ISLAND,3446 W PETERSON AVE ,08/21/2012,0
5678,EL ARPA RESTAURANT,3446 W PETERSON AVE ,09/01/2010,2
5679,HALSTED PRODUCE MARKET,3449 S HALSTED ST ,09/27/2010,0
5680,"DOLLAR FUNCTION GROUP, INC.",3449 S HALSTED ST ,09/27/2010,0
5681,HALSTED 35TH PRODUCE,3449 S HALSTED ST ,09/27/2010,0
5682,CAFE CART,345 E SUPERIOR ST ,10/23/2017,0
5683,REHABILITATION HOSPITAL,345 E SUPERIOR ST ,06/06/2017,0
5684,REHABILITATION HOSPITAL,345 E SUPERIOR ST ,08/19/2016,1
5685,JOE'S GRILL FISH & CHICKEN,345 N CENTRAL AVE ,10/29/2015,2
5686,JACKS  FAMOUS  WINGS,345 N CENTRAL AVE ,01/17/2014,0
5687,DUNKIN DONUTS/BASKIN ROBBINS,345 N CENTRAL AVE ,10/07/2011,3
5688,PATHWAYS TO LEARNING CHILD CARE CENTER,3450 - 3454 W 79TH ST ,10/30/2013,0
5689,RAINBOW PIZZA,3450 N HALSTED ST ,06/21/2012,2
5690,BUFALOW SAM,3450 W CHICAGO AVE ,11/07/2013,0
5691,PIZZA HUT #405100,3451 W DEVON AVE ,09/27/2013,3
5692,GORDITAS LA TIA SUZY ESTILO DURANGO,3452 S WESTERN AVE ,02/26/2016,1
5693,DELICIAS DE GUANAJUATO,3452 S WESTERN AVE ,02/26/2016,0
5694,TAQUERIA EL SENOR SOMBRERO,3452 S WESTERN AVE ,02/26/2016,0
5695,TAQUERIA EL SENOR SOMBRERO,3452 S WESTERN AVE ,08/20/2015,1
5696,VIDA,3452 S WESTERN AVE ,06/23/2014,1
5697,PUERTORIQUENA SOBRE EL FUEGO,3452 S WESTERN AVE ,01/07/2013,1
5698,TACO EL JALICIENCE #2,3452 S WESTERN AVE ,04/28/2011,2
5699,ON THE AVENUE,3452 S WESTERN AVE ,04/28/2011,0
5700,MARY'S LEMONADE STAND,3452 S WESTERN AVE ,11/01/2011,0
5701,Chicago Coffee House,3452 W IRVING PARK RD ,08/12/2014,2
5702,BEN SALEM FOOD MARKET,3452-3454 W CHICAGO AVE ,10/15/2014,3
5703,MIRABELL RESTAURANT,3454 W ADDISON ST ,11/06/2015,1
5704,DUNN-INN,3454-3456 N PULASKI RD ,12/08/2010,2
5705,EINSTEIN BROS. BAGELS # 2436,3455 N CLARK ST ,10/31/2014,1
5706,BAKERY NEW YORK CORPORATION,3455 W LAWRENCE AVE ,09/11/2012,0
5707,NEW YORK BAKERY INC.,3455 W LAWRENCE AVE ,09/11/2012,0
5708,THE CORNER STORE-NORTH PARK,3456 W FOSTER AVE ,02/06/2018,0
5709,STREET CORNER MARKET,3456 W FOSTER AVE ,02/28/2013,1
5710,VILIN PANTRY,3456 W FOSTER AVE ,08/30/2012,1
5711,POPEYES,3457 W ROOSEVELT RD ,07/02/2014,1
5712,CRUMBS BAKE SHOP,346 N CLARK ST ,09/23/2011,4
5713,OUR NEIGHBORHOOD QUICK STOP,346 S PULASKI RD ,10/16/2014,2
5714,DEEP BLUE SEA SHRIMP HOUSE,3460 W 79TH ST ,05/24/2012,0
5715,Rebel Bar & Grill,3462 N CLARK ST ,04/18/2013,0
5716,ETHIOPIAN VILLAGE RESTAURANT,3462 N CLARK ST ,08/31/2010,3
5717,IAN'S PIZZA,3463 N CLARK ST ,10/29/2010,3
5718,ROCKS LAKEVIEW,3463-3465 N BROADWAY ,10/04/2010,4
5719,Dany's Mini Mart,3464 N Pulaski RD ,01/29/2010,3
5720,JIN HAN INTERNATIONAL,3465 N KIMBALL AVE ,06/01/2011,0
5721,PAL DO FOOD CO,3465 N KIMBALL AVE ,06/01/2011,0
5722,VERNY'S BAKERY,3465 N KIMBALL AVE ,06/01/2011,0
5723,5000 YRS FOODS INC,3465 N KIMBALL AVE ,05/21/2010,1
5724,ROCKWOOD,3466-3470 N CLARK ST ,08/24/2016,1
5725,MATSUYA RESTAURANT,3469-3471 N CLARK ST ,11/06/2013,0
5726,SUBWAY,347 N LA SALLE ST ,01/08/2016,0
5727,TEDDY BEAR NURSERY SCHOOLS,3473 W COLUMBUS AVE ,05/02/2013,0
5728,PIE HOLE PIZZA JOINT,3477 N BROADWAY ,09/16/2010,5
5729,UBERSTEIN,3478 N CLARK ST ,09/12/2013,1
5730,RAY-J,349 W 95TH ST BLDG ,07/07/2010,3
5731,TWO ITALIANS DELI & PIZZERIA,349 W OAK ST ,05/21/2015,1
5732,CIAO PIZZA,349 W OAK ST ,04/16/2013,0
5733,CRISPY PIZZA,349 W OAK ST ,04/12/2013,0
5734,SHARKS FISH & CHICKEN,35 E 59TH ST ,05/19/2011,0
5735,HIDEOUT INN,35 E RIVERWALK SOUTH ,08/13/2015,1
5736,GRAZE,35 W ONTARIO ST ,12/01/2014,0
5737,CAFFE BACI,350 N ORLEANS ST ,08/04/2017,0
5738,MART PLAZA CATERING CORP,350 N ORLEANS ST ,08/03/2017,0
5739,C & A NEWS INC,350 N ORLEANS ST ,06/11/2015,0
5740,HOLIDAY INN MART PLAZA,350 N ORLEANS ST ,03/28/2014,1
5741,THE DOG JOINT,350 W ARMITAGE AVE ,10/09/2015,0
5742,CHICAGO RED EYES,350 W ARMITAGE AVE ,08/29/2014,0
5743,THE DOG JOINT,350 W ARMITAGE AVE ,06/26/2013,1
5744,SPROUTS ACADEMY,350 W ONTARIO ST ,01/26/2015,2
5745,FAST AND FRESH,3500 N BROADWAY ,12/02/2014,0
5746,T & S FAST FOODS,3500 N BROADWAY ,08/30/2011,3
5747,DOS SABORES,3500 N ELSTON AVE ,05/08/2013,1
5748,SARITAS RESTAURANT & BAKERY,3500 N ELSTON AVE ,11/26/2012,1
5749,DOS SABORES,3500 N ELSTON AVE ,03/21/2012,0
5750,SWEET CELEBRATIONS BAKERY,3500 N ELSTON AVE ,03/21/2012,0
5751,SUSY'S BAKERY,3500 N ELSTON AVE ,09/23/2010,2
5752,CARIBOU COFFEE COMPANY INC,3500 N HALSTED ST ,11/05/2014,0
5753,ALL FAITH PAVILION,3500 S GILES AVE ,04/20/2012,3
5754,BRIDGEPORT RESTAURANT,3500 S HALSTED ST ,07/09/2010,0
5755,ZAYTUNE MEDITERRANEAN GRILL,3500 S WESTERN AVE ,09/23/2014,3
5756,JIMMY'S FRY HOUSE,3500 S WESTERN AVE ,09/17/2014,0
5757,"PALETERIA MICHOACANA LA #1,INC",3500 W 59TH ST ,04/29/2014,1
5758,PALETERIA Y NEVERIA LA PERLA MICHIOACANA,3500 W 59TH ST ,07/26/2013,1
5759,LUNA'S BAKERY,3500 W 59TH ST ,07/20/2012,1
5760,THE TWIST,3500 W 59TH ST ,09/18/2012,0
5761,HALASVILLE,3500 W ARMITAGE AVE ,04/17/2015,0
5762,PICK QUICK FOOD & LIQUOR,3500 W ARMITAGE AVE ,04/17/2015,0
5763,Halasville Tobacco And More,3500 W ARMITAGE AVE ,04/17/2015,0
5764,PICK QUICK,3500 W ARMITAGE AVE ,04/17/2015,0
5765,MR T'S,3500 W LAKE ST ,09/25/2012,0
5766,Taqueria El Primo Inc.,3500 W MONTROSE AVE ,08/16/2012,2
5767,TAQUERIA EL PRIMO,3500 W MONTROSE AVE ,02/28/2011,1
5768,ALFREDO MEJIA,3500 W MONTROSE AVE LOT ,07/06/2010,4
5769,F & F FOODS INC,3501 W 48TH PL ,07/07/2010,0
5770,HOMEPLATE DEUCES & THE DIAMOND CLUB,3501-3507 N CLARK ST ,09/03/2013,2
5771,MARCELA'S RESTAURANT,3503 W FULLERTON AVE ,03/04/2015,0
5772,Di Martino Restaurant,3503 W FULLERTON AVE ,03/17/2011,2
5773,BONSAI CAFE & LOUNGE,3503-3505 N HALSTED ST ,09/24/2012,3
5774,CHEN'S,3506 N CLARK ST ,10/11/2011,2
5775,JIMMY JOHN'S STORE #850,3506 S STATE ST ,06/19/2013,4
5776,STARBUCKS COFFEE #10634,3506 S STATE ST ,06/13/2011,2
5777,TURKEY CHOPS GRILL,3506 W CHICAGO AVE ,02/25/2013,2
5778,CHICAGO'S GRILL AND SUB,3506 W CHICAGO AVE ,02/19/2013,0
5779,OLD CROW,3506-3512 N CLARK ST ,09/17/2014,1
5780,HANNAH'S GRILL,3507 N MILWAUKEE AVE ,09/26/2013,2
5781,MIKE & LOUS FAST FOOD,3507 N MILWAUKEE AVE ,09/26/2013,0
5782,TORTAS ZURITA LLC,3508 W 26TH ST ,02/16/2017,0
5783,TAQUERIA LA CAPITAL,3508 W 63RD ST ,11/21/2016,0
5784,TONY'S TACOS,3508 W 63RD ST ,03/20/2015,0
5785,BAUME & BRIX,351 W HUBBARD ST ,09/25/2012,3
5786,RUMBA,351 W HUBBARD ST ,06/16/2010,2
5787,FOREVER YOGURT 001,3510 N HALSTED ST ,12/03/2015,0
5788,YOGURT PIER,3510 N HALSTED ST ,08/14/2014,1
5789,COLD STONE CREAMERY,3510 N HALSTED ST ,08/13/2014,0
5790,RAMOVA CHILI PARLOR,3510 S HALSTED ST ,05/10/2012,0
5791,LAS TRES CAMPANITAS #2,3510 W 26th ST ,06/01/2010,3
5792,MISSISSIPPI RICKS,3511 S DR MARTIN LUTHER KING JR DR ,02/25/2013,1
5793,MUNCHIES,3511 S DR MARTIN LUTHER KING JR DR ,03/09/2012,1
5794,QUICK STOP PANTRY,3512 N PULASKI RD ,09/03/2010,3
5795,LOS TRES ANGELES DE LA SALUD,3514 W FULLERTON AVE BLDG ,09/29/2014,3
5796,PAULYS PIZZARIA WRIGLEYVILLE,3515 N CLARK ST ,10/16/2013,1
5797,BACCI PIZZA ON CLARK,3515 N CLARK ST ,08/15/2012,1
5798,PIZZA RIA WRIGLEYVILLE,3515 N CLARK ST ,09/04/2012,0
5799,WENDY'S #000860,3516 E 118TH ST ,09/24/2012,3
5800,SMOOCHES,3517 W Arthington ST ,10/28/2014,1
5801,TAQUERIA LOS BARRILITOS,3518 W 25TH ST ,04/22/2011,4
5802,Red Ivy,3519-3525 N CLARK ST ,09/28/2015,1
5803,Red Ivy,3519-3525 N CLARK ST ,09/10/2013,0
5804,Red Ivy,3519-3525 N CLARK ST ,06/15/2010,3
5805,TRACEY'S DINER,352 E 115TH ST ,04/08/2013,0
5806,THE GREEN AT GRANT PARK,352 E MONROE DR ,09/23/2010,3
