,block#,#business_with_liquor,#crimes,#arrests
486,2442,1,0,0
487,2443,2,0,0
488,2445,1,0,0
489,2446,1,0,0
490,2448,2,0,0
491,2449,1,0,0
492,2450,1,0,0
493,2452,2,0,0
494,2453,3,0,0
495,2458,1,0,0
496,246,1,0,0
497,2469,1,0,0
498,249,1,0,0
499,25,4,0,0
500,251,13,0,0
501,2511,3,0,0
502,2512,1,0,0
503,2513,6,0,0
504,2514,20,0,0
505,2515,15,0,0
506,2516,47,0,0
507,2517,14,0,0
508,2518,4,0,0
509,2519,6,0,0
510,252,3,0,0
511,2520,6,0,0
512,2522,1,0,0
513,2523,4,0,0
514,2524,7,0,0
515,2525,4,0,0
516,2527,4,0,0
517,2528,13,0,0
518,2529,3,0,0
519,2530,3,0,0
520,2531,2,0,0
521,2532,6,0,0
522,2549,10,0,0
523,255,10,0,0
524,2557,3,0,0
525,256,14,0,0
526,257,16,0,0
527,258,4,0,0
528,259,4,0,0
529,26,1,0,0
530,261,14,0,0
531,2611,2,0,0
532,2612,1,0,0
533,2614,10,0,0
534,2615,7,0,0
535,2617,3,0,0
536,2618,1,0,0
537,262,3,0,0
538,2620,5,0,0
539,2621,2,0,0
540,2623,3,0,0
541,2624,2,0,0
542,2626,7,0,0
543,2627,7,0,0
544,2629,3,0,0
545,263,5,0,0
546,2631,8,0,0
547,2632,7,0,0
548,2633,3,0,0
549,2637,1,0,0
550,264,1,0,0
551,2641,5,0,0
552,2643,2,0,0
553,2645,1,0,0
554,2646,3,0,0
555,2648,3,0,0
556,265,5,0,0
557,2653,4,0,0
558,2655,1,0,0
559,2656,2,0,0
560,2657,2,0,0
561,2658,1,0,0
562,266,7,0,0
563,2661,3,0,0
564,2663,2,0,0
565,271,77,0,0
566,2711,23,0,0
567,2712,5,0,0
568,2713,5,0,0
569,2715,2,0,0
570,2716,1,0,0
571,2717,2,0,0
572,2718,18,0,0
573,2721,1,0,0
574,2722,1,0,0
575,2724,1,0,0
576,2726,1,0,0
577,2727,14,0,0
578,2728,11,0,0
579,2729,3,0,0
580,2730,3,0,0
581,2732,1,0,0
582,2733,27,0,0
583,2734,1,0,0
584,2736,1,0,0
585,2737,8,0,0
586,2739,1,0,0
587,274,1,0,0
588,2740,1,0,0
589,2741,3,0,0
590,2742,21,0,0
591,2743,1,0,0
592,2744,1,0,0
593,2745,3,0,0
594,2746,24,0,0
595,2747,2,0,0
596,2748,4,0,0
597,2749,8,0,0
598,2750,4,0,0
599,2751,3,0,0
600,2753,12,0,0
601,2754,40,0,0
602,2756,4,0,0
603,2757,32,0,0
604,2758,29,0,0
605,2759,3,0,0
606,277,26,0,0
607,278,1,0,0
608,279,2,0,0
609,2810,3,0,0
610,2811,2,0,0
611,2812,2,0,0
612,2816,4,0,0
613,2817,2,0,0
614,2818,1,0,0
615,2819,2,0,0
616,282,1,0,0
617,2821,3,0,0
618,2822,4,0,0
619,2823,2,0,0
620,2824,3,0,0
621,2825,9,0,0
622,2826,3,0,0
623,2827,1,0,0
624,2828,7,0,0
625,2829,9,0,0
626,2830,2,0,0
627,2832,1,0,0
628,2833,5,0,0
629,2836,1,0,0
630,2837,1,0,0
631,2838,15,0,0
632,2839,2,0,0
633,284,2,0,0
634,2840,1,0,0
635,2842,1,0,0
636,2843,2,0,0
637,2844,1,0,0
638,2846,1,0,0
639,2847,1,0,0
640,2850,5,0,0
641,2851,1,0,0
642,2853,4,0,0
643,2854,4,0,0
644,2857,1,0,0
645,286,2,0,0
646,2860,4,0,0
647,2865,2,0,0
648,2869,1,0,0
649,288,3,0,0
650,289,1,0,0
651,291,4,0,0
652,2910,3,0,0
653,2912,1,0,0
654,2913,2,0,0
655,2914,2,0,0
656,2915,8,0,0
657,2916,1,0,0
658,2919,1,0,0
659,292,6,0,0
660,2920,8,0,0
661,2926,2,0,0
662,2928,2,0,0
663,2929,2,0,0
664,293,2,0,0
665,2931,3,0,0
666,2933,10,0,0
667,2934,3,0,0
668,2935,1,0,0
669,2937,6,0,0
670,2938,1,0,0
671,2946,2,0,0
672,2948,2,0,0
673,2949,2,0,0
674,2950,1,0,0
675,2955,3,0,0
676,298,5,0,0
677,311,5,0,0
678,316,3,0,0
679,317,1,0,0
680,318,3,0,0
681,319,1,0,0
682,32,1,0,0
683,320,2,0,0
684,321,2,0,0
685,324,1,0,0
686,326,15,0,0
687,327,3,0,0
688,33,16,0,0
689,330,5,0,0
690,331,2,0,0
691,332,1,0,0
692,333,4,0,0
693,335,2,0,0
694,337,3,0,0
695,338,1,0,0
696,34,2,0,0
697,340,30,0,0
698,341,3,0,0
699,342,2,0,0
700,343,3,0,0
701,345,4,0,0
702,347,2,0,0
703,348,1,0,0
704,35,3,0,0
705,353,1,0,0
706,354,6,0,0
707,355,8,0,0
708,356,1,0,0
709,357,1,0,0
710,358,1,0,0
711,36,2,0,0
712,360,10,0,0
713,361,1,0,0
714,364,4,0,0
715,38,3,0,0
716,3010,5,0,0
717,3011,1,0,0
718,3012,5,0,0
719,3013,3,0,0
720,3016,16,0,0
721,3017,5,0,0
722,3018,4,0,0
723,302,13,0,0
724,3022,1,0,0
725,3024,1,0,0
726,3025,7,0,0
727,3026,10,0,0
728,3028,3,0,0
729,303,2,0,0
730,3030,1,0,0
731,3031,1,0,0
732,3033,5,0,0
733,3034,5,0,0
734,3035,7,0,0
735,3036,7,0,0
736,3037,4,0,0
737,3038,6,0,0
738,3039,8,0,0
739,3040,1,0,0
740,305,1,0,0
741,3052,1,0,0
742,3053,2,0,0
743,3054,2,0,0
744,306,8,0,0
745,307,5,0,0
746,308,10,0,0
747,309,1,0,0
748,30999,5,0,0
749,3110,2,0,0
750,3113,4,0,0
751,3114,1,0,0
752,3115,5,0,0
753,3118,1,0,0
754,3119,3,0,0
755,3121,1,0,0
756,3122,2,0,0
757,3123,2,0,0
758,3124,3,0,0
759,3128,1,0,0
760,3129,1,0,0
761,3130,2,0,0
762,3132,1,0,0
763,3134,4,0,0
764,3135,1,0,0
765,3137,13,0,0
766,3138,3,0,0
767,314,6,0,0
768,3141,1,0,0
769,3142,2,0,0
770,3145,7,0,0
771,3146,5,0,0
772,3148,1,0,0
773,3150,3,0,0
774,3151,3,0,0
775,316,2,0,0
776,317,1,0,0
777,319,9,0,0
778,32,3,0,0
779,3210,15,0,0
780,3212,3,0,0
781,3213,4,0,0
782,3214,8,0,0
783,3215,4,0,0
784,3216,4,0,0
785,3218,14,0,0
786,3219,4,0,0
787,322,4,0,0
788,3220,13,0,0
789,3221,15,0,0
790,3223,4,0,0
791,3224,4,0,0
792,3225,5,0,0
793,3227,8,0,0
794,3228,8,0,0
795,3229,1,0,0
796,3230,20,0,0
797,3231,11,0,0
798,3233,9,0,0
799,3234,22,0,0
800,3235,7,0,0
801,3236,10,0,0
802,3237,7,0,0
803,3239,11,0,0
804,324,11,0,0
805,3240,4,0,0
806,3241,2,0,0
807,3242,8,0,0
808,325,10,0,0
809,3251,1,0,0
810,3252,3,0,0
811,327,22,0,0
812,328,19,0,0
813,329,4,0,0
814,331,1,0,0
815,3310,6,0,0
816,3311,12,0,0
817,3312,3,0,0
818,3313,9,0,0
819,3314,4,0,0
820,3315,6,0,0
821,3317,4,0,0
822,3318,1,0,0
823,3319,3,0,0
824,332,7,0,0
825,3320,3,0,0
826,3321,5,0,0
827,3322,10,0,0
828,3323,5,0,0
829,3324,6,0,0
830,3325,5,0,0
831,3326,9,0,0
